Date and Time,Latitude,Longitude,Magnitude,Depth
 13-OCT-2019 03:38:23 , -20.34 , -173.35 ,4.8 ,10 
 13-OCT-2019 03:09:11 , -25.59 , -177.36 ,4.5 ,79 
 13-OCT-2019 02:53:15 , 12.87 , -89.83 ,4.4 ,53 
 13-OCT-2019 01:02:41 , 37.31 , 72.19 ,4.5 ,235 
 12-OCT-2019 23:17:59 , -15.76 , -69.83 ,4.2 ,249 
 12-OCT-2019 21:49:29 , 55.22 , 165.24 ,4.4 ,10 
 12-OCT-2019 20:40:38 , -6.78 , 146.52 ,4.9 ,10 
 12-OCT-2019 18:20:28 , -4.81 , 28.10 ,4.6 ,10 
 12-OCT-2019 17:30:59 , 2.44 , 128.80 ,4.5 ,42 
 12-OCT-2019 17:21:28 , 32.48 , 49.67 ,4.8 ,45 
 12-OCT-2019 15:51:07 , 5.65 , 126.54 ,4.5 ,87 
 12-OCT-2019 14:55:23 , 22.04 , 110.30 ,4.6 ,10 
 12-OCT-2019 14:33:00 , -3.63 , 139.76 ,4.9 ,56 
 12-OCT-2019 13:33:55 , -5.03 , 130.81 ,4.5 ,63 
 12-OCT-2019 11:54:28 , 56.23 , -148.60 ,4.0 ,10 
 12-OCT-2019 09:55:15 , -5.99 , 131.48 ,4.3 ,35 
 12-OCT-2019 09:21:55 , 34.69 , 140.57 ,5.3 ,59 
 12-OCT-2019 08:58:30 , 10.12 , -104.26 ,4.6 ,10 
 12-OCT-2019 06:49:35 , 37.49 , 20.62 ,4.5 ,7 
 12-OCT-2019 02:44:20 , 56.22 , -148.59 ,5.0 ,10 
 12-OCT-2019 02:35:40 , -5.15 , 152.63 ,5.2 ,55 
 12-OCT-2019 01:14:51 , -20.96 , -177.49 ,4.0 ,397 
 12-OCT-2019 01:07:07 , -7.14 , 129.36 ,4.7 ,157 
 11-OCT-2019 22:43:19 , 37.69 , 20.91 ,4.5 ,10 
 11-OCT-2019 18:52:40 , -18.64 , -172.59 ,5.2 ,10 
 11-OCT-2019 17:23:03 , -24.24 , -66.97 ,4.7 ,174 
 11-OCT-2019 15:18:37 , -31.59 , 179.71 ,4.3 ,404 
 11-OCT-2019 15:01:50 , -4.69 , 125.33 ,4.7 ,486 
 11-OCT-2019 10:59:48 , -2.55 , -77.00 ,4.3 ,119 
 11-OCT-2019 09:19:34 , 28.32 , 54.54 ,4.2 ,10 
 11-OCT-2019 07:48:33 , 55.96 , 162.89 ,4.9 ,28 
 11-OCT-2019 06:11:50 , -30.58 , -72.20 ,4.3 ,10 
 11-OCT-2019 03:45:46 , 18.37 , -64.34 ,4.14 ,128 
 11-OCT-2019 02:55:41 , -29.22 , -71.85 ,4.9 ,20 
 11-OCT-2019 01:55:07 , 6.71 , 125.03 ,5.1 ,10 
 11-OCT-2019 01:39:24 , 51.32 , -178.20 ,4.2 ,35 
 10-OCT-2019 23:55:59 , 39.43 , 25.68 ,4.2 ,10 
 10-OCT-2019 23:28:55 , 10.66 , -43.60 ,4.6 ,10 
 10-OCT-2019 23:10:12 , -20.49 , -178.57 ,4.1 ,594 
 10-OCT-2019 22:40:14 , -21.06 , -174.20 ,4.4 ,10 
 10-OCT-2019 22:38:55 , 37.57 , 72.12 ,4.2 ,197 
 10-OCT-2019 22:35:11 , -4.46 , 147.53 ,4.5 ,10 
 10-OCT-2019 22:11:14 , 16.18 , -96.52 ,4.7 ,35 
 10-OCT-2019 22:05:35 , 12.94 , -89.88 ,4.4 ,35 
 10-OCT-2019 21:26:26 , -46.92 , -10.40 ,5.2 ,10 
 10-OCT-2019 21:25:02 , -29.95 , -178.49 ,4.4 ,120 
 10-OCT-2019 21:14:07 , -20.75 , -178.66 ,4.0 ,593 
 10-OCT-2019 19:08:28 , 7.13 , -77.11 ,4.5 ,40 
 10-OCT-2019 18:52:37 , -24.62 , -179.50 ,4.3 ,502 
 10-OCT-2019 18:32:14 , -35.25 , -179.35 ,4.8 ,10 
 10-OCT-2019 17:26:42 , -16.10 , -73.34 ,4.8 ,62 
 10-OCT-2019 16:52:03 , 40.72 , 29.22 ,4.3 ,10 
 10-OCT-2019 16:43:30 , -18.61 , 168.41 ,4.5 ,42 
 10-OCT-2019 14:16:40 , -6.84 , 129.57 ,5.1 ,147 
 10-OCT-2019 07:01:45 , 62.92 , -143.70 ,4.0 ,16 
 10-OCT-2019 04:39:47 , -3.61 , 128.24 ,5.0 ,49 
 10-OCT-2019 03:23:02 , 9.70 , -84.66 ,4.5 ,20 
 10-OCT-2019 03:18:04 , -57.97 , 157.41 ,5.4 ,10 
 10-OCT-2019 02:46:51 , 11.34 , -86.66 ,4.6 ,40 
 09-OCT-2019 21:26:09 , -15.30 , -172.83 ,5.1 ,10 
 09-OCT-2019 21:16:28 , -35.18 , -179.14 ,4.4 ,10 
 09-OCT-2019 20:22:51 , -35.05 , -179.33 ,5.6 ,10 
 09-OCT-2019 20:16:28 , -17.92 , -174.00 ,4.4 ,160 
 09-OCT-2019 18:08:15 , -17.12 , -70.12 ,4.3 ,161 
 09-OCT-2019 17:29:00 , 22.69 , 144.25 ,4.4 ,35 
 09-OCT-2019 17:18:35 , 42.72 , 137.34 ,4.1 ,290 
 09-OCT-2019 15:52:43 , 41.56 , 142.10 ,4.3 ,58 
 09-OCT-2019 15:30:48 , 2.95 , 125.82 ,4.3 ,131 
 09-OCT-2019 10:49:14 , 15.42 , -94.31 ,4.0 ,35 
 09-OCT-2019 10:44:35 , 36.50 , 70.64 ,5.0 ,202 
 09-OCT-2019 10:00:11 , -17.76 , -178.70 ,4.6 ,563 
 09-OCT-2019 08:51:25 , 30.05 , 138.99 ,4.6 ,419 
 09-OCT-2019 08:17:23 , 36.62 , 71.22 ,4.6 ,92 
 09-OCT-2019 07:57:40 , 20.38 , 121.63 ,4.7 ,10 
 09-OCT-2019 05:49:51 , -0.87 , 148.45 ,4.7 ,10 
 09-OCT-2019 05:44:46 , -57.93 , -139.18 ,5.5 ,10 
 09-OCT-2019 03:14:02 , 6.81 , -72.96 ,4.3 ,156 
 09-OCT-2019 03:06:29 , 40.69 , 52.02 ,4.6 ,10 
 08-OCT-2019 23:05:00 , 40.87 , 142.46 ,4.3 ,49 
 08-OCT-2019 21:49:22 , 42.93 , 78.75 ,4.4 ,13 
 08-OCT-2019 19:58:30 , 35.74 , 140.11 ,4.5 ,71 
 08-OCT-2019 18:58:34 , 52.57 , 159.50 ,4.6 ,57 
 08-OCT-2019 14:25:50 , 14.00 , 144.61 ,4.6 ,182 
 08-OCT-2019 14:13:47 , -7.39 , 129.49 ,4.1 ,133 
 08-OCT-2019 14:04:08 , -27.20 , -71.12 ,4.2 ,35 
 08-OCT-2019 13:10:47 , 5.04 , 127.37 ,4.4 ,159 
 08-OCT-2019 12:45:37 , -10.34 , 161.48 ,5.0 ,53 
 08-OCT-2019 10:48:29 , 38.49 , 73.19 ,4.3 ,128 
 08-OCT-2019 06:18:04 , -18.08 , -69.42 ,4.9 ,135 
 08-OCT-2019 05:09:08 , -61.07 , -53.88 ,4.9 ,10 
 08-OCT-2019 04:46:09 , 44.54 , 138.38 ,4.3 ,268 
 08-OCT-2019 04:43:51 , 54.33 , -35.16 ,4.6 ,10 
 08-OCT-2019 00:10:04 , -64.41 , 174.69 ,5.1 ,10 
 07-OCT-2019 22:50:40 , -3.60 , 102.17 ,4.4 ,78 
